      i          x1i          x2i          x3i          x1i+1        x2i+1        x3i+1        Err1        Err2        Err3        Time  
  1.000000     1.000000     2.000000     1.000000     6.000000     1.333333    -7.000000     0.000000     0.000000     0.000000     0.291880   
  2.000000     6.000000     1.333333    -7.000000    14.666667     6.222222   -34.666667     8.666667     4.888889    27.666667     0.432495   
  3.000000    14.666667     6.222222   -34.666667    37.444444    27.925926   -133.944444    22.777778    21.703704    99.277778     0.428178   
  4.000000    37.444444    27.925926   -133.944444   115.018519   108.580247   -492.268519    77.574074    80.654321   358.324074     0.398172   
  5.000000   115.018519   108.580247   -492.268519   392.688272   401.232510   -1786.729938   277.669753   292.652263   1294.461420     0.442803   
  6.000000   392.688272   401.232510   -1786.729938   1394.497428   1459.308299   -6463.671039   1001.809156   1058.075789   4676.941101     0.441784   
  7.000000   1394.497428   1459.308299   -6463.671039   5013.362740   5282.652892   -23362.002786   3618.865312   3823.344593   16898.331747     0.422667   
  8.000000   5013.362740   5282.652892   -23362.002786   18088.349894   19097.103786   -84417.836198   13074.987154   13814.450894   61055.833412     0.373353   
  9.000000   18088.349894   19097.103786   -84417.836198   65329.732413   69010.626656   -305020.478587   47241.382518   49913.522870   220602.642388     0.372329   
 10.000000   65329.732413   69010.626656   -305020.478587   236018.851931   249354.736828   -1102086.488382   170689.119518   180344.110173   797066.009795     0.373338   
 11.000000   236018.851931   249354.736828   -1102086.488382   852740.751553   900961.483473   -3981989.577750   616721.899622   651606.746645   2879903.089368     0.377197   
 12.000000   852740.751553   900961.483473   -3981989.577750   3081037.094277   3255301.374149   -14387453.763862   2228296.342723   2354339.890676   10405464.186112     0.375659   
 13.000000   3081037.094277   3255301.374149   -14387453.763862   11132161.389713   11761837.425341   -51983748.360591   8051124.295436   8506536.051192   37596294.596729     0.386642   
 14.000000   11132161.389713   11761837.425341   -51983748.360591   40221919.935251   42497057.857288   -187824047.474741   29089758.545538   30735220.431947   135840299.114149     0.390625   
 15.000000   40221919.935251   42497057.857288   -187824047.474741   145326998.617452   153547404.221352   -678632704.590236   105105078.682202   111050346.364064   490808657.115495     0.378823   
 16.000000   145326998.617452   153547404.221352   -678632704.590236   525085309.368883   554786739.874392   -2451988177.676501   379758310.751431   401239335.653040   1773355473.086266     0.363628   
 17.000000   525085309.368883   554786739.874392   -2451988177.676501   1897201446.802109   2004516612.367262   -8859352001.304951   1372116137.433226   1449729872.492870   6407363823.628449     0.360736   
 18.000000   1897201446.802109   2004516612.367262   -8859352001.304951   6854835397.937689   7242579076.448142   -32009990320.250961   4957633951.135579   5238062464.080880   23150638318.946011     0.386868   
 19.000000   6854835397.937689   7242579076.448142   -32009990320.250961   24767411252.802818   26168379598.466068   -115656255668.602430   17912575854.865128   18925800522.017925   83646265348.351471     0.377449   
 20.000000   24767411252.802818   26168379598.466068   -115656255668.602430   89487876079.136368   94549756845.378998   -417881084648.841550   64720464826.333542   68381377246.912933   302224828980.239140     0.387877   
