      i          x1i          x2i          x3i          x1i+1        x2i+1        x3i+1        Err1        Err2        Err3        Time  
  1.000000     1.000000     2.000000     1.000000     6.000000     4.666667    -1.500000     0.000000     0.000000     0.000000     0.293424   
  2.000000     6.000000     4.666667    -1.500000     5.833333     4.666667   -17.000000     0.166667     0.000000    15.500000     0.430596   
  3.000000     5.833333     4.666667   -17.000000    21.333333    25.444444   -16.750000    15.500000    20.777778     0.250000     0.529396   
  4.000000    21.333333    25.444444   -16.750000     0.305556    14.777778   -102.333333    21.027778    10.666667    85.583333     0.416671   
  5.000000     0.305556    14.777778   -102.333333    96.555556   142.907407   -38.791667    96.250000   128.129630    63.541667     0.497799   
  6.000000    96.555556   142.907407   -38.791667   -95.115741    -5.981481   -567.555556   191.671296   148.888889   528.763889     0.516436   
  7.000000   -95.115741    -5.981481   -567.555556   582.537037   826.817901   166.618056   677.652778   832.799383   734.173611     0.453181   
  8.000000   582.537037   826.817901   166.618056   -984.435957   -603.848765   -3348.259259   1566.972994   1430.666667   3514.877315     0.431184   
  9.000000   -984.435957   -603.848765   -3348.259259   3961.108025   5127.302984   3294.200231   4945.543981   5731.151749   6642.459491     0.410418   
 10.000000   3961.108025   5127.302984   3294.200231   -8412.503215   -7026.338992   -21317.570988   12373.611240   12153.641975   24611.771219     0.370515   
 11.000000   -8412.503215   -7026.338992   -21317.570988   28352.909979   34038.430127   33703.771798   36765.413194   41064.769119   55021.342785     0.408404   
 12.000000   28352.909979   34038.430127   33703.771798   -67733.201925   -63833.635717   -144638.655350   96086.111904   97872.065844   178342.427148     0.385253   
 13.000000   -67733.201925   -63833.635717   -144638.655350   208481.291067   238013.675083   293106.710037   276214.492991   301847.310800   437745.365387     0.401831   
 14.000000   208481.291067   238013.675083   293106.710037   -531111.385120   -529789.807427   -1026756.961848   739592.676187   767803.482510   1319863.671886     0.411004   
 15.000000   -531111.385120   -529789.807427   -1026756.961848   1556555.769276   1723090.205878   2386042.499962   2087667.154396   2252880.013305   3412799.461811     0.372593   
 16.000000   1556555.769276   1723090.205878   2386042.499962   -4109123.705841   -4219087.179467   -7504098.271548   5665679.475116   5942177.385345   9890140.771510     0.402349   
 17.000000   -4109123.705841   -4219087.179467   -7504098.271548   11723194.451015   12744886.832624   18820953.097162   15832318.156855   16963974.012091   26325051.368710     0.411431   
 18.000000   11723194.451015   12744886.832624   18820953.097162   -31565830.929786   -32910060.430227   -55819446.174395   43289025.380801   45654947.262851   74640399.271557     0.428976   
 19.000000   -31565830.929786   -32910060.430227   -55819446.174395   88729515.604621   95469822.185717   146078933.685359   120295346.534408   128379882.615944   201898379.859754     0.409086   
 20.000000   88729515.604621   95469822.185717   146078933.685359   -241548746.871076   -253924915.316893   -419503733.964083   330278262.475697   349394737.502610   565582667.649442     0.421044   
 21.000000   -241548746.871076   -253924915.316893   -419503733.964083   673428658.280976   720370816.532828   1124097872.257293   914977405.152052   974295731.849721   1543601606.221376     0.418897   
 22.000000   673428658.280976   720370816.532828   1124097872.257293   -1844468679.790122   -1947749595.197042   -3171255431.019949   2517897338.071097   2668120411.729870   4295353303.277242     0.398288   
 23.000000   -1844468679.790122   -1947749595.197042   -3171255431.019949   5119005035.216991   5457986367.886680   8609951811.276308   6963473715.007113   7405735963.083721   11781207242.296257     0.416177   
 24.000000   5119005035.216991   5457986367.886680   8609951811.276308   -14067938170.162987   -14892605765.179739   -24052466650.485523   19186943205.379978   20350592133.066418   32662418461.761833     0.411688   
 25.000000   -14067938170.162987   -14892605765.179739   -24052466650.485523   38945072424.665260   41448580987.422691   65779724556.783691   53013010594.828247   56341186752.602425   89832191207.269211     0.423681   
