         i               a            b          mid          error         time
         1.000000     1.000000     2.000000     1.500000   100.000000     0.000002
         2.000000     1.000000     1.500000     1.250000    20.000000     0.001003
         3.000000     1.250000     1.500000     1.375000     9.090909     0.001762
         4.000000     1.250000     1.375000     1.312500     4.761905     0.002567
         5.000000     1.312500     1.375000     1.343750     2.325581     0.003361
         6.000000     1.312500     1.343750     1.328125     1.176471     0.004119
         7.000000     1.312500     1.328125     1.320313     0.591716     0.004879
         8.000000     1.320313     1.328125     1.324219     0.294985     0.005634
         9.000000     1.324219     1.328125     1.326172     0.147275     0.006390
        10.000000     1.324219     1.326172     1.325195     0.073692     0.007145
        11.000000     1.324219     1.325195     1.324707     0.036860     0.007894
        12.000000     1.324707     1.325195     1.324951     0.018426     0.008702
        13.000000     1.324707     1.324951     1.324829     0.009214     0.009509
        14.000000     1.324707     1.324829     1.324768     0.004607     0.010262
        15.000000     1.324707     1.324768     1.324738     0.002304     0.011013
        16.000000     1.324707     1.324738     1.324722     0.001152     0.011769
        17.000000     1.324707     1.324722     1.324715     0.000576     0.012523
        18.000000     1.324715     1.324722     1.324718     0.000288     0.013274
