iterations              xl           xu           xr          f(xl)        f(xu)        f(xr)        error               time
  1.000000             1.000000     2.000000     1.166667    -1.000000     5.000000    -0.578704   1.166667e+000       2.264485e-006
  2.000000             1.166667     2.000000     1.253112    -0.578704     5.000000    -0.285363   8.644537e-002       1.514034e-003
  3.000000             1.253112     2.000000     1.293437    -0.285363     5.000000    -0.129542   4.032537e-002       1.607331e-003
  4.000000             1.293437     2.000000     1.311281    -0.129542     5.000000    -0.056588   1.784362e-002       1.651262e-003
  5.000000             1.311281     2.000000     1.318989    -0.056588     5.000000    -0.024304   7.707482e-003       1.670737e-003
  6.000000             1.318989     2.000000     1.322283    -0.024304     5.000000    -0.010362   3.294214e-003       1.689758e-003
  7.000000             1.322283     2.000000     1.323684    -0.010362     5.000000    -0.004404   1.401576e-003       1.708780e-003
  8.000000             1.323684     2.000000     1.324279    -0.004404     5.000000    -0.001869   5.951679e-004       1.727802e-003
  9.000000             1.324279     2.000000     1.324532    -0.001869     5.000000    -0.000793   2.525248e-004       1.747276e-003
 10.000000             1.324532     2.000000     1.324639    -0.000793     5.000000    -0.000336   1.071067e-004       1.769015e-003
 11.000000             1.324639     2.000000     1.324685    -0.000336     5.000000    -0.000143   4.542186e-005       1.788943e-003
 12.000000             1.324685     2.000000     1.324704    -0.000143     5.000000    -0.000060   1.926130e-005       1.807512e-003
 13.000000             1.324704     2.000000     1.324712    -0.000060     5.000000    -0.000026   8.167608e-006       1.826986e-003
