iterations       power from maximum power to 0            a            b            c            x        error         time
0.000000         3.000000                               1.000000     1.000000     1.000000     1.000000     1.000000     0.000000
0.000000         2.000000                              -1.000000     0.000000     1.000000     1.000000     1.000000     0.000000
0.000000         1.000000                                    NaN          NaN          NaN     1.000000     1.000000     0.000000
0.000000         0.000000                               7.000000          NaN          NaN     1.000000     1.000000     0.000000
1.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042419
1.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042426
1.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042431
1.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042434
2.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042451
2.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042455
2.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042458
2.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042462
3.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042470
3.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042474
3.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042477
3.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042480
4.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042489
4.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042492
4.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042495
4.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042499
5.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042507
5.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042510
5.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042514
5.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042517
6.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042527
6.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042530
6.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042533
6.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042537
7.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042547
7.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042551
7.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042554
7.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042557
8.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042567
8.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042570
8.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042574
8.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042577
9.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042586
9.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042590
9.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042593
9.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042596
10.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042609
10.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042612
10.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042616
10.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042619
11.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042628
11.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042632
11.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042635
11.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042638
12.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042647
12.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042651
12.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042654
12.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042657
13.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042667
13.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042671
13.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042674
13.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042677
14.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042687
14.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042691
14.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042694
14.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042697
15.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042706
15.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042710
15.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042713
15.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042716
16.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.042726
16.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.042730
16.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.042733
16.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.042736
17.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050478
17.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050486
17.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050492
17.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050498
18.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050533
18.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050541
18.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050546
18.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050554
19.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050575
19.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050580
19.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050583
19.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050587
20.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050598
20.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050602
20.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050605
20.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050609
21.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050618
21.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050622
21.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050625
21.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050628
22.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050638
22.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050642
22.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050645
22.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050648
23.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050657
23.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050661
23.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050664
23.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050668
24.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050679
24.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050683
24.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050686
24.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050689
25.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050699
25.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050702
25.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050705
25.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050709
26.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050720
26.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050724
26.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050727
26.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050730
27.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050740
27.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050744
27.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050748
27.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050751
28.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050760
28.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050764
28.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050767
28.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050771
29.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050780
29.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050784
29.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050787
29.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050791
30.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050800
30.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050804
30.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050807
30.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050810
31.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050820
31.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050823
31.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050826
31.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050830
32.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050842
32.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050845
32.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050849
32.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050852
33.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050862
33.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050866
33.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050869
33.000000         0.000000                               7.000000          NaN          NaN          NaN          NaN     0.050873
34.000000         3.000000                               1.000000     1.000000     1.000000          NaN          NaN     0.050882
34.000000         2.000000                              -1.000000          NaN          NaN          NaN          NaN     0.050886
34.000000         1.000000                                    NaN          NaN          NaN          NaN          NaN     0.050889
