         i               a            b          mid          error         time
         1.000000     1.000000     1.500000     2.000000   100.000000     0.000001
         2.000000     1.000000     1.250000     1.500000     0.250000     0.000840
         3.000000     1.250000     1.375000     1.500000     0.125000     0.001692
         4.000000     1.250000     1.312500     1.375000     0.062500     0.002447
         5.000000     1.312500     1.343750     1.375000     0.031250     0.003218
         6.000000     1.312500     1.328125     1.343750     0.015625     0.003997
         7.000000     1.312500     1.320313     1.328125     0.007813     0.004749
         8.000000     1.320313     1.324219     1.328125     0.003906     0.005499
         9.000000     1.324219     1.326172     1.328125     0.001953     0.006248
        10.000000     1.324219     1.325195     1.326172     0.000977     0.007048
        11.000000     1.324219     1.324707     1.325195     0.000488     0.007912
        12.000000     1.324707     1.324951     1.325195     0.000244     0.008665
        13.000000     1.324707     1.324829     1.324951     0.000122     0.009414
        14.000000     1.324707     1.324768     1.324829     0.000061     0.010161
        15.000000     1.324707     1.324738     1.324768     0.000031     0.010910
        16.000000     1.324707     1.324722     1.324738     0.000015     0.011660
        17.000000     1.324707     1.324715     1.324722     0.000008     0.012408
        18.000000     1.324715     1.324718     1.324722     0.000004     0.013157
