iterations         time            x            f                          df/dx           Error
  1.000000     0.000809       49.000000       117599.000000             7202.000000     0.000000
  2.000000     0.000561       33.000000        35903.000000             3266.000000    16.000000
  3.000000     0.000609       22.000000        10625.000000             1451.000000    11.000000
  4.000000     0.000625       15.000000         3359.000000              674.000000     7.000000
  5.000000     0.000554       10.000000          989.000000              299.000000     5.000000
  6.000000     0.000611        7.000000          335.000000              146.000000     3.000000
  7.000000     0.000551        5.000000          119.000000               74.000000     2.000000
  8.000000     0.000607        3.000000           23.000000               26.000000     2.000000
  9.000000     0.000673        2.000000            5.000000               11.000000     1.000000
 10.000000     0.000609        2.000000            5.000000               11.000000     0.000000
