iterations       power from maximum power to 0            a            b            c            x        error         time
0.000000         3.000000                               1.000000     1.000000     1.000000     1.000000     1.000000     0.000000
0.000000         2.000000                               0.000000     1.000000     2.000000     1.000000     1.000000     0.000000
0.000000         1.000000                              -1.000000     0.000000     2.000000     1.000000     1.000000     0.000000
0.000000         0.000000                              -1.000000    -1.000000     2.000000     1.000000     1.000000     0.000000
1.000000         3.000000                               1.000000     1.000000     1.000000     1.500000     0.500000     0.000941
1.000000         2.000000                               0.000000     1.500000     3.000000     1.500000     0.500000     0.000948
1.000000         1.000000                              -1.000000     1.250000     5.750000     1.500000     0.500000     0.000952
1.000000         0.000000                              -1.000000     0.875000     5.750000     1.500000     0.500000     0.000955
2.000000         3.000000                               1.000000     1.000000     1.000000     1.347826    -0.152174     0.000967
2.000000         2.000000                               0.000000     1.347826     2.695652     1.347826    -0.152174     0.000971
2.000000         1.000000                              -1.000000     0.816635     4.449905     1.347826    -0.152174     0.000974
2.000000         0.000000                              -1.000000     0.100682     4.449905     1.347826    -0.152174     0.000977
3.000000         3.000000                               1.000000     1.000000     1.000000     1.325200    -0.022626     0.000986
3.000000         2.000000                               0.000000     1.325200     2.650401     1.325200    -0.022626     0.000990
3.000000         1.000000                              -1.000000     0.756156     4.268468     1.325200    -0.022626     0.000993
3.000000         0.000000                              -1.000000     0.002058     4.268468     1.325200    -0.022626     0.000996
4.000000         3.000000                               1.000000     1.000000     1.000000     1.324718    -0.000482     0.001005
4.000000         2.000000                               0.000000     1.324718     2.649436     1.324718    -0.000482     0.001008
4.000000         1.000000                              -1.000000     0.754878     4.264635     1.324718    -0.000482     0.001011
4.000000         0.000000                              -1.000000     0.000001     4.264635     1.324718    -0.000482     0.001014
5.000000         3.000000                               1.000000     1.000000     1.000000     1.324718    -0.000000     0.001024
5.000000         2.000000                               0.000000     1.324718     2.649436     1.324718    -0.000000     0.001028
5.000000         1.000000                              -1.000000     0.754878     4.264633     1.324718    -0.000000     0.001031
5.000000         0.000000                              -1.000000     0.000000     4.264633     1.324718    -0.000000     0.001034
